rating,brand,title,raters,spec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ASUS,,,Celeron 2957U (1.40 GHz),4 GB DDR3 500 GB HDD,Windows 8.1 64-Bit,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Click to view the photo gallery,,,Intel Atom X5-Z8500 (1.44 GHz),2 GB LPDDR3 32 GB eMMC SSD,Windows 10 Home,Intel HD Graphics,Kangaroo Dock included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit with Windows 8.1 Pro License,No Screen,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,iVIEW,,,Intel Atom Z3735F (1.33 GHz),2 GB DDR3 32 GB HDD,Windows 8.1,"18.5""",Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i7-4770 (3.4 GHz),8 GB DDR3 1 TB HDD,AMD Radeon HD 7450 1 GB,Windows 7 Professional 64-Bit preinstalled through downgrade rights in Windows 8.1 Pro 64-Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i7 6700 (3.4 GHz),16 GB DDR3 2 TB HDD,Windows 10 Home 64-Bit,AMD Radeon R9 370 2 GB,NVIDIA GeForce GTX 960 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i7 4790 (3.6 GHz),8 GB DDR3 1 TB HDD 8 GB SSD,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 760 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DELL,,,Intel Core i5 4590 (3.30 GHz),8 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit with Windows 8.1 Pro License,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i3  4150T (3.0 GHz),4 GB DDR3  500 GB  HDD,Windows 7 Professional 64-Bit with Windows 8.1 Pro downgrade,Intel HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Intel Core i3 4160 (3.60 GHz),8 GB DDR3 1 TB HDD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,AMD FX-Series FX-8320 (3.50 GHz),8 GB DDR3 1 TB HDD,Windows 8.1 64-Bit,AMD Radeon R9 380 4 GB,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iBUYPOWER,,,Intel Core i7 5820K (3.30 GHz) with 120MM Liquid Cooler,16 GB DDR4 1 TB HDD 120 GB SSD,Windows 10 Home,NVIDIA GeForce GTX 980 4 GB,802.11ac Wi-Fi Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,AMD FX-6300 (3.5GHz),8GB DDR3 | 1TB HDD,Nvidia Geforce GTX 750 Ti 2GB,CM Storm Devastator KB/MO,Built-in SD/MMC/TF card reader,USB 3.0,Included  Red LED CM Storm Devastator Keyboard + Mouse,Microsoft Windows 8.1 64-Bit,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABS,,,AMD FX-Series FX-4350 (4.20 GHz),4 GB DDR3 1 TB HDD,Windows 8.1 64-Bit,NVIDIA GeForce GT 730 2GB,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Intel Core i3 4170 (3.70 GHz),4 GB 500 GB HDD,Windows 10 Pro 64-bit,Intel HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i5 6400 (2.7 GHz),8 GB DDR3 1 TB HDD,Windows 10 Home 64-Bit,NVIDIA GeForce GT 730 2 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CyberpowerPC,,,AMD FX-Series FX-8320 (3.50 GHz),8 GB DDR3 1 TB HDD,Windows 10 Home 64-Bit,AMD Radeon R7 250,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acer America,,,Intel Core i3 4160 (3.60 GHz),8 GB DDR3 1 TB HDD,Windows 7 Professional 64-Bit,Intel HD Graphics 4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,A10-Series APU A10-7800 (3.50 GHz),16 GB DDR3 3 TB HDD,Windows 8.1 64-Bit,AMD Radeon R7,AMD Radeon R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hewlett-Packard,,,Intel Core i7-4785T (2.2 GHz),4 GB DDR3 500 GB SSHD,Intel HD Graphics 4600,Windows 7 Professional(available through downgrade rights from Windows 8.1 Pro),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,A6-Series APU A6-6310 (1.80 GHz),6 GB DDR3 1 TB HDD,Windows 8.1 64-Bit,AMD Radeon R4,AMD Radeon R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ZOTAC,,,Celeron 2961Y (1.10 GHz),2 GB DDR3 32 GB SSD,Windows 8,Intel HD Graphics,Support Email:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DELL,,,Intel Core i5 4590 (3.30 GHz),4 GB DDR3 500 GB HDD,Windows 7 Professional 64-Bit upgradable to Windows 8 Professional (English/French),No Screen,Intel HD Graphics 4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iBUYPOWER,,,AMD FX-Series FX-8320 (3.50 GHz),8 GB DDR3 1 TB HDD,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 950 2 GB,802.11ac Wi-Fi Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i7 4790 (3.6 GHz),12 GB DDR3 1 TB HDD,Windows 8.1,NVIDIA GeForce GTX 745 4GB,NVIDIA GeForce GTX 745 4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i3 4150 (3.50 GHz),8 GB DDR3 2 TB HDD,Windows 7 Home Premium,Intel HD Graphics 4400,Asus QuietCool Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Celeron 2955U (1.4GHz),2GB DDR3 16GB SSD HDD Capacity,Google Chrome OS,Intel HD Graphics,Without Keyboard and Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASUS,,,Intel Core i3 4150 (3.50 GHz),8 GB DDR3 2 TB HDD,Windows 7 Home Premium,Intel HD Graphics 4400,Asus QuietCool Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo,,,Pentium G3220 (3.00 GHz),2 GB DDR3 500 GB HDD,Windows 7 Professional 64bit,Intel HD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DELL,,,Intel Core i7 6700 (3.4 GHz),16 GB DDR4 2 TB HDD,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 745 4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ASUS,,,A8-Series APU A8-5500 (3.2 GHz),4 GB DDR3 1 TB HDD,Windows 8.1,AMD Radeon HD 7560D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
